MC_kts,Spd_kts,LD,sinkrate_kts,
0.0,47,33.6,-1.399,at max gross
0.2,47,33.6,-1.399,
0.4,47,33.6,-1.399,
0.6,47,33.6,-1.399,
0.8,47,33.6,-1.399,
1.0,47,33.6,-1.399,
1.2,47,33.6,-1.399,
1.4,47,33.6,-1.399,
1.6,47,33.6,-1.399,
1.8,47,33.6,-1.399,
2.0,47,33.6,-1.399,
2.2,47,33.6,-1.399,
2.4,47,33.6,-1.399,
2.6,47,33.6,-1.399,
2.8,47,33.6,-1.399,
3.0,47,33.6,-1.399,
3.2,47,33.6,-1.399,
3.4,47,33.6,-1.399,
3.6,47,33.6,-1.399,
3.8,47,33.6,-1.399,
4.0,47,33.6,-1.399,
4.2,47,33.6,-1.399,
4.4,47,33.6,-1.399,
4.6,47,33.6,-1.399,
4.8,47,33.6,-1.399,
5.0,47,33.6,-1.399,
5.2,47,33.6,-1.399,
5.4,47,33.6,-1.399,
5.6,47,33.6,-1.399,
5.8,47,33.6,-1.399,
6.0,47,33.6,-1.399,
6.2,47,33.6,-1.399,
6.4,47,33.6,-1.399,
6.6,47,33.6,-1.399,
6.8,47,33.6,-1.399,
7.0,47,33.6,-1.399,
7.2,47,33.6,-1.399,
7.4,47,33.6,-1.399,
7.6,47,33.6,-1.399,
7.8,47,33.6,-1.399,
8.0,47,33.6,-1.399,
