MC_kts,Spd_kts,LD,sinkrate_kts,
0,50,38.2,-1.308900524,
0.2,52,38.1,-1.364829396,dry
0.4,53,37.9,-1.398416887,
0.6,54,37.5,-1.44,
0.8,56,37.1,-1.509433962,
1,57,36.5,-1.561643836,
1.2,59,35.9,-1.643454039,
1.4,60,35.3,-1.699716714,
1.6,62,34.6,-1.791907514,
1.7,63,33.9,-1.85840708,
1.9,65,33.1,-1.963746224,
2.1,66,32.4,-2.037037037,
2.3,68,31.7,-2.14511041,
2.5,69,31,-2.225806452,
2.7,70,30.3,-2.310231023,
2.9,72,29.6,-2.432432432,
3.1,73,29,-2.517241379,
3.3,74,28.4,-2.605633803,
3.5,75,27.8,-2.697841727,
3.7,76,27.2,-2.794117647,
3.9,78,26.7,-2.921348315,
4.1,79,26.3,-3.003802281,
4.3,79.5,25.9,-3.069498069,
4.5,80,25.6,-3.125,
4.7,81,25.3,-3.201581028,
4.9,81.5,24.9,-3.273092369,
5.1,82,24.6,-3.333333333,
5.2,83,24.3,-3.41563786,
5.4,83.5,24,-3.479166667,
5.6,84,23.8,-3.529411765,
5.8,85,23.5,-3.617021277,
6,85.5,23.2,-3.685344828,
6.2,86,23,-3.739130435,
6.4,86.5,22.7,-3.810572687,
6.6,87,22.4,-3.883928571,
6.8,88,22.2,-3.963963964,
