MC_kts,Spd_kts,LD,sinkrate_kts,
0,54,43.3,-1.247113164,valid for asw20 only!
0.2,55,43.2,-1.273148148,dry
0.4,57,43,-1.325581395,
0.6,58,42.6,-1.361502347,
0.8,60,42.1,-1.425178147,
1,61,41.5,-1.469879518,
1.2,62,40.9,-1.515892421,
1.4,64,40.2,-1.592039801,
1.6,65,39.4,-1.649746193,
1.7,67,38.6,-1.735751295,
1.9,68,37.8,-1.798941799,
2.1,69,36.9,-1.869918699,
2.3,71,35.7,-1.988795518,
2.5,74,34.4,-2.151162791,
2.7,76,33.3,-2.282282282,
2.9,78,32.3,-2.414860681,
3.1,80,31.3,-2.555910543,
3.3,81,30.5,-2.655737705,
3.5,83,29.7,-2.794612795,
3.7,85,29,-2.931034483,
3.9,86,28.4,-3.028169014,
4.1,88,27.8,-3.165467626,
4.3,89,27.3,-3.26007326,
4.5,90,26.8,-3.358208955,
4.7,91,26.3,-3.460076046,
4.9,92,25.9,-3.552123552,
5.1,93,25.5,-3.647058824,
5.2,94,25.2,-3.73015873,
5.4,95,24.8,-3.830645161,
5.6,96,24.5,-3.918367347,
5.8,97,24.2,-4.008264463,
6,98,24,-4.083333333,
6.2,98.5,23.7,-4.156118143,
6.4,99,23.5,-4.212765957,
6.6,100,23.2,-4.310344828,
6.8,100.5,23,-4.369565217,
7,101,22.8,-4.429824561,
7.2,101.5,22.6,-4.491150442,
7.4,102,22.3,-4.573991031,
7.6,103,22,-4.681818182,
7.8,104,21.8,-4.770642202,
8,104.5,21.6,-4.837962963,
