MC_kts,Spd_kts,LD,,
0,54,43.3,,valid for asw20 only!
0.2,55,43.2,,dry
0.4,57,43,,
0.6,58,42.6,,
0.8,60,42.1,,
1,61,41.5,,
1.2,62,40.9,,
1.4,64,40.2,,
1.6,65,39.4,,
1.7,67,38.6,,
1.9,68,37.8,,
2.1,69,36.9,,
2.3,71,35.7,,
2.5,74,34.4,,
2.7,76,33.3,,
2.9,78,32.3,,
3.1,80,31.3,,
3.3,81,30.5,,
3.5,83,29.7,,
3.7,85,29,,
3.9,86,28.4,,
4.1,88,27.8,,
4.3,89,27.3,,
4.5,90,26.8,,
4.7,91,26.3,,
4.9,92,25.9,,
5.1,93,25.5,,
5.2,94,25.2,,
5.4,95,24.8,,
5.6,96,24.5,,
5.8,97,24.2,,
6,98,24,,
6.2,98.5,23.7,,
6.4,99,23.5,,
6.6,100,23.2,,
6.8,100.5,23,,
7,101,22.8,,
7.2,101.5,22.6,,
7.4,102,22.3,,
7.6,103,22,,
7.8,104,21.8,,
8,104.5,21.6,,
